data,canal,tema,resumo,resolvido
2025-09-15,chat,CDB,Cliente perguntou sobre rentabilidade e prazos,sim
2025-09-22,telefone,Problema no app,Erro ao visualizar extrato foi corrigido,sim
2025-10-01,chat,Tesouro Selic,Cliente pediu explicação sobre o funcionamento do Tesouro Direto,sim
2025-10-12,chat,Metas financeiras,Cliente acompanhou o progresso da reserva de emergência,sim
2025-10-25,email,Atualização cadastral,Cliente atualizou e-mail e telefone,sim
2025-11-02,chat,Poupança,Cliente quis saber diferença entre poupança e CDB,sim
2025-11-10,telefone,Cartão de crédito,Cliente relatou cobrança indevida,sim
2025-11-18,email,Investimentos,Cliente solicitou material educativo sobre fundos,sim
2025-11-25,chat,Planejamento,Cliente pediu ajuda para organizar gastos mensais,sim
2025-12-03,chat,Reserva de emergência,Cliente perguntou qual valor ideal para começar,sim
2025-12-12,telefone,App travando,Cliente relatou lentidão ao acessar extrato,sim
2025-12-20,email,Segurança,Cliente pediu informações sobre proteção de dados,sim
2025-12-28,chat,Previdência privada,Cliente quis entender diferenças para Tesouro,sim
2026-01-05,chat,Orçamento familiar,Cliente buscou dicas para dividir despesas,sim
2026-01-12,telefone,Transferência,Cliente relatou demora em TED,sim
2026-01-20,email,Atualização cadastral,Cliente alterou endereço residencial,sim
2026-01-28,chat,Investimentos,Cliente pediu explicação sobre risco x retorno,sim
2026-02-03,chat,Metas financeiras,Cliente revisou objetivo de comprar um carro,sim
2026-02-10,telefone,Cartão bloqueado,Cliente solicitou desbloqueio imediato,sim
2026-02-15,email,Extrato,Cliente pediu envio de extrato detalhado por e-mail,sim
